dataset,polluter,level,model,accuracy,f1_macro,auc_roc,score,grade,completeness,uniqueness,validity,consistency,outlier_ratio,class_balance,feature_correlation,label_consistency,feature_informativeness
SouthGermanCredit,uniqueness,0.75,MLP,0.735,0.6766,0.739,60.3,C,1.0,0.25,1.0,1.0,0.9396,0.6,1.0,0.0869,0.411
SouthGermanCredit,uniqueness,0.75,RandomForest,0.775,0.6848,0.8015,60.3,C,1.0,0.25,1.0,1.0,0.9396,0.6,1.0,0.0869,0.411
SouthGermanCredit,uniqueness,0.75,SVC,0.725,0.6902,0.777,60.3,C,1.0,0.25,1.0,1.0,0.9396,0.6,1.0,0.0869,0.411
SouthGermanCredit,uniqueness,0.75,XGBoost,0.78,0.7105,0.799,60.3,C,1.0,0.25,1.0,1.0,0.9396,0.6,1.0,0.0869,0.411
SouthGermanCredit,uniqueness,0.9,LogisticRegression,0.75,0.6865,0.7743,58.95,D,1.0,0.2,1.0,1.0,0.9392,0.6,1.0,0.0869,0.3511
SouthGermanCredit,uniqueness,0.9,MLP,0.735,0.6696,0.7549,58.95,D,1.0,0.2,1.0,1.0,0.9392,0.6,1.0,0.0869,0.3511
SouthGermanCredit,uniqueness,0.9,RandomForest,0.765,0.6756,0.7998,58.95,D,1.0,0.2,1.0,1.0,0.9392,0.6,1.0,0.0869,0.3511
SouthGermanCredit,uniqueness,0.9,SVC,0.715,0.6813,0.7711,58.95,D,1.0,0.2,1.0,1.0,0.9392,0.6,1.0,0.0869,0.3511
SouthGermanCredit,uniqueness,0.9,XGBoost,0.76,0.7024,0.8033,58.95,D,1.0,0.2,1.0,1.0,0.9392,0.6,1.0,0.0869,0.3511
SouthGermanCredit,uniqueness,0.95,LogisticRegression,0.765,0.7002,0.7783,58.69,D,1.0,0.1667,1.0,1.0,0.9398,0.6,1.0,0.0869,0.3757
SouthGermanCredit,uniqueness,0.95,MLP,0.735,0.6799,0.7502,58.69,D,1.0,0.1667,1.0,1.0,0.9398,0.6,1.0,0.0869,0.3757
SouthGermanCredit,uniqueness,0.95,RandomForest,0.765,0.6802,0.7878,58.69,D,1.0,0.1667,1.0,1.0,0.9398,0.6,1.0,0.0869,0.3757
SouthGermanCredit,uniqueness,0.95,SVC,0.7,0.6633,0.7695,58.69,D,1.0,0.1667,1.0,1.0,0.9398,0.6,1.0,0.0869,0.3757
SouthGermanCredit,uniqueness,0.95,XGBoost,0.76,0.6956,0.7717,58.69,D,1.0,0.1667,1.0,1.0,0.9398,0.6,1.0,0.0869,0.3757
TelcoCustomerChurn,class_balance,0.1,LogisticRegression,0.7573,0.7212,0.8341,85.57,B,1.0,1.0,1.0,1.0,1.0,0.9003,1.0,0.3283,1.0
TelcoCustomerChurn,class_balance,0.1,MLP,0.6799,0.6425,0.7301,85.57,B,1.0,1.0,1.0,1.0,1.0,0.9003,1.0,0.3283,1.0
TelcoCustomerChurn,class_balance,0.1,RandomForest,0.7374,0.6962,0.8095,85.57,B,1.0,1.0,1.0,1.0,1.0,0.9003,1.0,0.3283,1.0
TelcoCustomerChurn,class_balance,0.1,SVC,0.7282,0.7005,0.835,85.57,B,1.0,1.0,1.0,1.0,1.0,0.9003,1.0,0.3283,1.0
TelcoCustomerChurn,class_balance,0.1,XGBoost,0.7346,0.6972,0.8059,85.57,B,1.0,1.0,1.0,1.0,1.0,0.9003,1.0,0.3283,1.0
